,location,count,iso_alpha3,avg_price_level,avg_rating
0,United States,368,USA,2.410326086956522,3.453442028985507
1,United Kingdom,202,GBR,2.5544554455445545,3.831889438943894
2,Australia,146,AUS,2.2945205479452055,3.9198630136986297
3,Germany,78,DEU,2.3333333333333335,3.941025641025641
4,Canada,49,CAN,2.510204081632653,3.732142857142857
5,France,44,FRA,2.7954545454545454,3.6068181818181815
6,Italy,43,ITA,2.744186046511628,3.5348837209302326
7,Sweden,34,SWE,2.6470588235294117,3.6637254901960783
8,Netherlands,28,NLD,2.7142857142857144,3.9785714285714286
9,Spain,26,ESP,2.1538461538461537,3.667307692307692
10,Denmark,26,DNK,2.769230769230769,3.8439102564102563
11,Japan,20,JPN,1.95,3.9
12,Switzerland,15,CHE,2.6,3.948888888888889
13,New Zealand,14,NZL,2.4285714285714284,3.988095238095238
14,Finland,13,FIN,2.3846153846153846,3.9000000000000004
15,Lithuania,10,LTU,2.2,3.5
16,Portugal,9,PRT,2.111111111111111,3.5944444444444446
17,India,9,IND,2.2222222222222223,4.0
18,Belgium,7,BEL,2.0,3.9285714285714284
19,Ireland,6,IRL,2.3333333333333335,3.8333333333333335
20,Poland,5,POL,2.2,3.8
21,Austria,4,AUT,1.75,4.25
22,Hong Kong,4,HKG,2.25,2.75
23,China,3,CHN,2.3333333333333335,2.6666666666666665
24,Turkey,3,TUR,2.0,4.0
25,Slovakia,3,SVK,2.6666666666666665,3.3333333333333335
26,Latvia,3,LVA,2.0,3.6666666666666665
27,"Korea, Republic of",3,KOR,2.3333333333333335,3.6666666666666665
28,Brazil,3,BRA,3.0,3.0
29,Indonesia,3,IDN,2.3333333333333335,3.3333333333333335
30,Hungary,2,HUN,2.0,4.0
31,South Africa,2,ZAF,2.0,5.0
32,Slovenia,2,SVN,2.5,4.5
33,Bulgaria,2,BGR,3.0,4.0
34,Viet Nam,2,VNM,3.0,3.5
35,Singapore,2,SGP,1.0,4.0
36,Ethiopia,1,ETH,2.0,4.0
37,Greece,1,GRC,2.0,5.0
38,Ghana,1,GHA,3.0,4.0
39,Egypt,1,EGY,2.0,4.5
40,Sri Lanka,1,LKA,1.0,4.0
41,Lebanon,1,LBN,2.0,4.0
42,Estonia,1,EST,1.0,3.0
43,Swaziland,1,SWZ,1.0,5.0
44,Puerto Rico,1,PRI,2.0,4.0
45,Norway,1,NOR,3.0,3.0
46,Guatemala,1,GTM,3.0,4.0
47,Georgia,1,GEO,4.0,4.0
48,Romania,1,ROU,3.0,4.0
49,Kenya,1,KEN,2.0,3.0
50,Czech Republic,1,CZE,2.0,4.0
51,Cyprus,1,CYP,2.0,3.0
52,Belarus,1,BLR,2.0,4.0
53,Mexico,1,MEX,3.0,3.0
54,Cambodia,1,KHM,2.0,5.0
55,Haiti,1,HTI,3.0,4.0
56,"Macedonia, the Former Yugoslav Republic of",1,MKD,2.0,4.0
57,Kuwait,1,KWT,3.0,3.0
